account_id,variant,mql_conversion_rate,engagement_score_delta,cost_per_mql,unsubscribe_rate,industry,company_size,region,engagement_tier
CH00000058-565a82,email_only,0,1.99,176.38,0,Finance,Mid-Market,North America,Medium
CH00000059-64daf6,email_only,0,-1.2,127.6,0,Manufacturing,Enterprise,North America,Low
CH00000060-aeabd3,email_only,0,2.72,123.46,0,Manufacturing,SMB,North America,Medium
CH00000061-da8863,email_only,0,2.57,110.57,0,Healthcare,Mid-Market,North America,Medium
CH00000062-168eaa,email_only,0,1.55,138.07,0,Retail,Enterprise,LATAM,High
CH00000063-8d90b7,email_only,0,-2.17,120.2,0,Finance,SMB,EMEA,Medium
CH00000064-214355,email_only,0,5.22,155.69,0,Healthcare,Mid-Market,North America,High
CH00000065-463da4,email_only,0,-12.07,135.41,0,Finance,Mid-Market,EMEA,Medium
CH00000066-8047af,email_only,0,0.85,160.48,0,Retail,Enterprise,North America,Low
CH00000067-1bc4e6,email_only,0,-1.99,130.71,0,Technology,Enterprise,North America,Medium
CH00000068-23a17f,email_only,0,3.66,96.72,0,Technology,Mid-Market,North America,Medium
CH00000069-dadb68,email_only,0,-7.57,92.51,0,Finance,Mid-Market,North America,High
CH00000070-161d0b,email_only,0,-6.52,167.4,0,Technology,SMB,North America,High
CH00000071-787d9c,email_only,0,14.94,112.56,0,Finance,Enterprise,North America,Medium
CH00000072-4f6588,email_only,0,1.24,158.14,0,Technology,SMB,APAC,Medium
CH00000073-4a31ac,email_only,0,-5.53,164.96,0,Healthcare,Mid-Market,North America,High
CH00000074-3c3eb8,email_only,0,0.29,110.11,0,Technology,SMB,EMEA,Low
CH00000075-85c54d,email_only,0,-6.11,133.27,0,Technology,Enterprise,North America,Medium
CH00000076-141c37,email_only,0,-4.27,93.42,0,Technology,SMB,North America,Low
CH00000077-95c037,email_only,0,-8.64,82.45,0,Technology,Enterprise,North America,Medium
CH00000078-49318f,email_only,0,5.73,138.38,0,Healthcare,SMB,EMEA,High
CH00000079-fa0a11,email_only,0,-4.22,80.61,0,Healthcare,Enterprise,North America,Low
CH00000080-b8047c,email_only,0,-4.13,101.93,0,Technology,Enterprise,North America,Low
CH00000081-c54f0b,email_only,0,7.07,119.99,0,Healthcare,Mid-Market,North America,High
CH00000082-1f9fed,email_only,0,2.09,107.26,0,Retail,SMB,LATAM,Medium
CH00000083-866717,email_only,0,-4.72,122.74,0,Healthcare,SMB,EMEA,High
CH00000084-b786e2,email_only,0,-12.68,127.59,0,Manufacturing,SMB,North America,Low
CH00000085-bda068,email_only,0,-8.92,128.36,0,Technology,Mid-Market,APAC,Medium
CH00000086-a659b0,email_only,0,-1.29,124.7,0,Technology,Mid-Market,North America,Medium
CH00000087-6d327a,email_only,0,-7.22,125.86,0,Retail,Mid-Market,North America,Medium
CH00000088-f6bb16,email_only,0,-4.67,108.11,0,Technology,Mid-Market,North America,Medium
CH00000089-5432a5,email_only,0,2.95,87.48,0,Manufacturing,SMB,North America,Low
CH00000090-4c5432,email_only,0,-4.82,148.22,0,Retail,Mid-Market,North America,Low
CH00000091-1f7f6a,email_only,0,6.92,114.71,0,Technology,Enterprise,North America,Low
CH00000092-70bd2f,email_only,0,2.97,111.3,0,Retail,SMB,North America,High
CH00000093-16012e,email_only,0,3.78,98.12,0,Finance,Enterprise,North America,Medium
CH00000094-28fabf,email_only,0,4.25,105.75,0,Technology,Mid-Market,LATAM,Medium
CH00000095-e49239,email_only,0,3.6,182.96,0,Healthcare,Mid-Market,EMEA,High
CH00000096-b60a40,email_only,0,-5.28,165.32,0,Finance,Mid-Market,North America,Medium
CH00000097-5272f6,email_only,0,-1.36,95.54,0,Retail,Enterprise,EMEA,Low
CH00000098-2397b5,email_only,0,-0.89,214.01,0,Retail,Enterprise,LATAM,High
CH00000099-743845,email_only,0,0.89,148.84,0,Manufacturing,SMB,North America,Medium
CH00000100-b6a79b,email_only,1,5.62,145.72,0,Technology,SMB,North America,Low
CH00000101-310021,email_only,0,-4.2,113.26,0,Finance,SMB,APAC,Low
CH00000102-15c28f,email_only,1,4.73,131.14,0,Healthcare,Enterprise,EMEA,Low
CH00000103-4bc946,email_only,0,0.02,120.9,0,Technology,SMB,North America,High
CH00000104-a144b8,email_only,0,0.87,120.78,0,Finance,Mid-Market,LATAM,Medium
CH00000105-9c1de7,email_only,0,-0.22,146.08,0,Healthcare,Mid-Market,EMEA,Medium
CH00000106-bfb5e9,email_only,0,-3.19,142.67,0,Manufacturing,Mid-Market,North America,Medium
CH00000107-d60b93,email_only,0,7.38,127.6,0,Technology,SMB,LATAM,Medium
CH00000108-2c1d04,email_only,0,-1.21,124.77,0,Healthcare,Enterprise,EMEA,Medium
CH00000109-49493d,email_only,0,2.62,119.07,0,Healthcare,SMB,North America,High
CH00000110-4075f6,email_only,0,5.41,93.73,0,Retail,Enterprise,APAC,Low
CH00000111-c36fde,email_only,0,-8.74,125.05,0,Finance,Mid-Market,North America,Medium
CH00000112-3317b2,email_only,0,-7.47,75.61,0,Retail,Mid-Market,North America,Low
CH00000113-97e435,email_only,0,1.13,106.91,0,Finance,SMB,EMEA,Low
CH00000114-63e77d,email_only,0,-3.22,175.11,0,Finance,SMB,EMEA,Medium
CH00000115-327c5f,email_only,0,5.12,99.47,0,Healthcare,SMB,North America,Medium
CH00000116-c62cac,email_only,0,-2.64,92.26,0,Healthcare,Enterprise,North America,Medium
CH00000117-5f68e1,email_only,0,-4.08,171.28,0,Retail,SMB,LATAM,Medium
CH00000118-262ddc,email_only,0,3.26,137.48,0,Manufacturing,Enterprise,North America,Low
CH00000119-2dd777,email_only,0,-0.6,120.58,0,Healthcare,SMB,APAC,Medium
CH00000120-2e1be9,email_only,0,-2.19,161.92,0,Finance,Enterprise,North America,Medium
CH00000121-f560e4,email_only,0,-3.83,106.9,0,Technology,Enterprise,APAC,Medium
CH00000122-7d0fcd,email_only,0,-2.9,101.33,0,Technology,SMB,North America,Medium
CH00000123-e673a6,email_only,0,2.65,127.25,1,Retail,Mid-Market,North America,Medium
CH00000124-c8ac71,email_only,0,-4.69,184.77,0,Technology,Enterprise,North America,Medium
CH00000125-28b620,email_only,0,7.61,82.15,0,Technology,Mid-Market,APAC,Medium
CH00000126-31ab89,email_only,0,6.88,141.73,0,Finance,Enterprise,APAC,Low
CH00000127-9d1cd1,email_only,0,-10.75,82.49,0,Finance,SMB,North America,Low
CH00000128-6fdcf9,email_only,0,0.04,183.94,0,Technology,SMB,EMEA,Medium
CH00000129-c07321,email_only,0,2.11,172.1,0,Finance,Mid-Market,APAC,Medium
CH00000130-6ffe96,email_only,0,1.73,145.66,0,Technology,SMB,North America,Medium
CH00000131-c6c05c,email_only,0,-6.52,85.89,0,Manufacturing,Mid-Market,North America,Medium
CH00000132-fc89f7,email_only,0,-0.49,153.74,0,Manufacturing,Enterprise,EMEA,High
CH00000133-6818fd,email_only,0,2.39,99.52,0,Retail,SMB,APAC,Medium
CH00000134-6f8c9a,email_only,0,0.33,103.78,0,Retail,Mid-Market,North America,Medium
CH00000135-d39731,email_only,0,-2.51,115.35,0,Finance,Enterprise,North America,Medium
CH00000136-9d0508,email_only,0,6.92,165.41,0,Finance,Mid-Market,EMEA,Low
CH00000137-360d98,email_only,1,1.13,101.54,0,Technology,Mid-Market,LATAM,Low
CH00000138-766ad6,email_only,0,-1.33,114.13,0,Healthcare,Enterprise,LATAM,Medium
CH00000139-a3e60f,email_only,0,-3.95,124.69,0,Technology,SMB,North America,Low
CH00000140-50652c,email_only,0,-6.24,79.55,0,Retail,SMB,EMEA,Medium
CH00000141-86b317,email_only,0,0.53,104.99,0,Healthcare,SMB,LATAM,Low
CH00000142-9792f9,email_only,0,5.51,88.92,0,Healthcare,Enterprise,APAC,Medium
CH00000143-60043a,email_only,0,6.38,114.23,0,Technology,Mid-Market,EMEA,Low
CH00000144-43b2f2,email_only,0,-3.33,173.5,0,Technology,Mid-Market,LATAM,Low
CH00000145-187fa0,email_only,0,2.07,179.45,0,Healthcare,Mid-Market,North America,High
CH00000146-56115e,email_only,0,0.24,188.39,0,Finance,Enterprise,North America,Medium
CH00000147-e46ec2,email_only,0,-3.49,169.78,0,Finance,SMB,EMEA,Low
CH00000148-f3b66e,email_only,0,2.39,127.51,0,Finance,Mid-Market,EMEA,Medium
CH00000149-dbdce6,email_only,0,0.85,101.87,0,Healthcare,Mid-Market,LATAM,Medium
CH00000150-1a1f34,email_only,0,2.02,127.48,0,Healthcare,SMB,North America,Medium
CH00000151-60a56a,email_only,0,-4.72,106.67,0,Retail,Mid-Market,EMEA,Low
CH00000152-810dd7,email_only,0,2.03,109.19,0,Finance,Enterprise,APAC,Medium
CH00000153-439cc6,email_only,0,-3.79,197.88,0,Healthcare,Mid-Market,North America,Medium
CH00000154-73a14c,email_only,0,4.15,111.15,0,Technology,Enterprise,EMEA,Medium
CH00000155-6aa559,email_only,0,0.12,108.32,0,Retail,SMB,EMEA,Medium
CH00000156-aacdf8,email_only,0,-5.4,141.67,0,Technology,Mid-Market,EMEA,High
CH00000157-1d75ea,email_only,0,2.92,143.56,0,Finance,SMB,APAC,High
CH00000158-fa19e6,email_only,0,-2.01,115.55,0,Technology,Mid-Market,North America,Low
CH00000159-be40c1,email_only,0,-3.34,150.67,0,Retail,Mid-Market,EMEA,Low
CH00000160-a9641b,email_only,0,0.9,137.65,0,Finance,Enterprise,North America,Medium
CH00000161-3e239b,email_only,0,-3.64,66.65,0,Technology,SMB,North America,Low
CH00000162-a6c101,email_only,0,1.58,140.51,0,Retail,Mid-Market,North America,High
CH00000163-7c1a66,email_only,1,-1.9,178.48,0,Retail,Enterprise,APAC,Medium
CH00000164-9333a2,email_only,0,6.56,128.83,0,Technology,Mid-Market,North America,Low
CH00000165-7959ab,email_only,0,-2.15,124.92,0,Technology,Mid-Market,North America,High
CH00000166-9c2612,email_only,0,-1.24,96.05,0,Finance,SMB,EMEA,Medium
CH00000167-a0f3b0,email_only,0,9.22,119.33,0,Technology,SMB,EMEA,Medium
CH00000168-f7d6c5,email_only,0,3.73,104.64,0,Manufacturing,SMB,North America,Low
CH00000169-37ec13,email_only,0,6.12,101.52,0,Technology,Mid-Market,EMEA,Low
CH00000170-ea7701,email_only,0,-1.22,137.29,0,Technology,Mid-Market,EMEA,Medium
CH00000171-4c3914,email_only,0,-2.71,127.43,0,Retail,SMB,North America,Medium
CH00000172-e8c412,email_only,0,-5.66,131.65,0,Technology,Mid-Market,North America,Low
CH00000173-6826cf,email_only,0,-3.12,104.11,0,Technology,Enterprise,North America,Low
CH00000174-2a0565,email_only,0,5.37,144.57,0,Finance,Enterprise,APAC,Low
CH00000175-5a3ecf,email_only,0,-4.79,117.52,0,Finance,Enterprise,North America,Low
CH00000176-6f1271,email_only,0,6.5,107.82,0,Technology,SMB,North America,Medium
CH00000177-a207bc,email_only,0,-0.28,84.8,0,Technology,SMB,North America,Low
CH00000178-a07fa2,email_only,0,2.0,83.09,0,Finance,Mid-Market,APAC,Medium
CH00000179-849208,email_only,0,1.56,161.3,0,Finance,Mid-Market,North America,Low
CH00000180-715920,email_only,0,-0.36,112.69,0,Retail,Enterprise,EMEA,High
CH00000181-4fb03b,email_only,0,-4.93,56.01,0,Healthcare,SMB,North America,Medium
CH00000182-7f21b1,email_only,0,-15.18,140.26,0,Technology,SMB,LATAM,Medium
CH00000183-1bc9e7,email_only,0,0.69,103.15,0,Manufacturing,Enterprise,North America,High
CH00000184-3ea2c7,email_only,0,-1.14,186.22,0,Finance,Mid-Market,EMEA,Medium
CH00000185-97b4a9,email_only,0,2.95,100.53,0,Manufacturing,Mid-Market,North America,Medium
CH00000186-d3f1e3,email_only,0,11.87,171.14,0,Manufacturing,Enterprise,North America,Medium
CH00000187-72e9cc,email_only,0,8.57,109.58,0,Retail,Enterprise,EMEA,Medium
CH00000188-52fd75,email_only,0,-1.87,135.03,0,Manufacturing,Mid-Market,North America,Medium
CH00000189-a394f7,email_only,0,1.47,130.95,0,Retail,SMB,North America,Medium
CH00000190-743a08,email_only,0,-3.65,142.88,0,Technology,Enterprise,EMEA,High
CH00000191-c9f3e1,email_only,0,2.2,123.21,0,Finance,Mid-Market,North America,Medium
CH00000192-afaed5,email_only,0,0.79,182.95,0,Technology,Enterprise,EMEA,Medium
CH00000193-1826b0,email_only,0,-6.08,92.37,0,Healthcare,SMB,EMEA,High
CH00000194-f6a1c3,email_only,0,5.23,118.04,0,Finance,SMB,North America,High
CH00000195-63936f,email_only,0,-0.88,142.97,0,Finance,SMB,North America,Low
CH00000196-7ed659,email_only,0,-2.12,99.71,0,Retail,Mid-Market,APAC,High
CH00000197-ebb182,email_only,0,6.96,136.17,0,Technology,Mid-Market,EMEA,Medium
CH00000198-80a91f,email_only,0,-3.16,126.85,0,Retail,Mid-Market,APAC,Medium
CH00000199-3363ee,email_only,0,4.88,129.66,0,Manufacturing,Enterprise,APAC,Medium
CH00000200-d01e51,email_only,0,-12.09,116.77,0,Retail,SMB,North America,Low
CH00000201-5d0ae3,email_only,0,3.21,92.46,0,Technology,SMB,North America,Medium
CH00000202-3f5229,email_only,0,8.2,141.88,0,Retail,Enterprise,North America,High
CH00000203-a80b93,email_only,0,-1.04,90.12,0,Finance,Enterprise,North America,Low
CH00000204-29f95a,email_only,0,-0.55,68.73,0,Technology,Mid-Market,North America,High
CH00000205-c9547c,email_only,0,0.76,272.82,0,Healthcare,SMB,North America,Medium
CH00000206-440ea9,email_only,0,-0.37,110.65,0,Technology,SMB,North America,Low
CH00000207-e792ec,email_only,0,4.95,114.97,0,Healthcare,Mid-Market,North America,Low
CH00000208-485fe9,email_only,1,-1.04,87.26,0,Technology,Mid-Market,EMEA,Low
CH00000209-2e6d15,email_only,0,2.37,110.76,0,Technology,SMB,EMEA,High
CH00000210-ee04aa,email_only,0,5.3,200.55,0,Technology,Mid-Market,North America,Medium
CH00000211-1f50f9,email_only,0,7.2,90.76,0,Finance,SMB,North America,Low
CH00000212-dc8c3a,email_only,0,3.84,79.26,0,Finance,Mid-Market,North America,Medium
CH00000213-6f4d78,email_only,0,-6.36,103.08,0,Technology,SMB,EMEA,Medium
CH00000214-eeb4fb,email_only,1,-4.66,152.96,0,Manufacturing,SMB,LATAM,High
CH00000215-d43448,email_only,0,-1.14,86.36,0,Technology,Mid-Market,APAC,Low
CH00000216-15476d,email_only,0,4.98,110.36,0,Healthcare,Enterprise,North America,Medium
CH00000217-ac45d9,email_only,0,0.86,89.77,0,Healthcare,SMB,North America,Low
CH00000218-ba95b4,email_only,0,2.44,108.12,0,Healthcare,Enterprise,North America,Medium
CH00000219-11c5b9,email_only,0,4.91,100.78,0,Retail,Mid-Market,North America,Low
CH00000220-210234,email_only,0,-9.08,130.65,0,Finance,Enterprise,LATAM,High
CH00000221-a7b52d,email_only,0,-5.79,96.12,0,Retail,SMB,North America,Low
CH00000222-fd962b,email_only,0,-2.78,113.92,0,Retail,SMB,LATAM,Low
CH00000223-db57b0,email_only,0,-8.5,84.54,0,Finance,SMB,North America,Low
CH00000224-348d53,email_only,0,1.12,100.83,0,Technology,Enterprise,North America,High
CH00000225-8045f0,email_only,0,-1.06,113.59,0,Retail,SMB,EMEA,Low
CH00000226-7941bd,email_only,1,0.31,106.53,0,Retail,Mid-Market,North America,Low
CH00000227-6d8575,email_only,0,2.93,236.69,0,Retail,Mid-Market,North America,Low
CH00000228-d3cbb1,email_only,0,2.72,124.32,0,Technology,Mid-Market,APAC,High
CH00000229-2b41ea,email_only,0,0.16,91.62,0,Retail,Mid-Market,APAC,Medium
CH00000230-997788,email_only,0,6.51,109.98,0,Manufacturing,SMB,North America,Medium
CH00000231-5a8828,email_only,0,-2.98,101.91,0,Healthcare,Mid-Market,North America,Medium
CH00000232-ae7214,email_only,0,0.74,152.8,0,Retail,SMB,North America,Low
CH00000233-5cda30,email_only,0,3.34,103.73,0,Finance,SMB,North America,Medium
CH00000234-37aed0,email_only,0,-3.15,111.98,0,Technology,Enterprise,EMEA,Low
CH00000235-1f573e,email_only,0,-2.2,89.63,0,Manufacturing,Mid-Market,North America,Low
CH00000236-e0b891,email_only,0,-4.13,135.73,0,Finance,Enterprise,APAC,Low
CH00000237-9a38d4,email_only,0,0.23,92.58,0,Healthcare,SMB,EMEA,Medium
CH00000238-80e145,email_only,0,1.04,161.16,0,Technology,Enterprise,North America,Medium
CH00000239-954323,email_only,0,-7.51,175.55,0,Technology,SMB,APAC,Low
CH00000240-a026c1,email_only,0,-4.61,181.82,0,Retail,Mid-Market,APAC,Low
CH00000241-35a082,email_only,0,-4.12,124.23,0,Healthcare,SMB,North America,Low
CH00000242-f73849,email_only,0,3.95,161.39,0,Technology,SMB,EMEA,Low
CH00000243-294161,email_only,0,-8.74,128.83,0,Finance,SMB,North America,Medium
CH00000244-a492b3,email_only,0,-8.43,151.04,0,Technology,Mid-Market,APAC,Medium
CH00000245-6e8438,email_only,0,-0.13,138.45,0,Technology,Mid-Market,North America,High
CH00000246-6ada8e,email_only,0,1.56,113.34,0,Healthcare,SMB,APAC,Medium
CH00000247-a68b51,email_only,0,-7.65,83.84,0,Retail,Mid-Market,North America,High
CH00000248-4895d4,email_only,0,-4.09,126.04,0,Healthcare,Mid-Market,North America,Medium
CH00000249-93bca7,email_only,0,3.98,100.26,0,Finance,SMB,North America,High
CH00000250-b84bff,email_only,0,-1.19,137.05,0,Manufacturing,SMB,North America,High
CH00000251-e6e8ef,email_only,0,-3.25,106.13,0,Finance,Enterprise,North America,Medium
CH00000252-f5014a,email_only,0,1.2,104.94,0,Retail,Mid-Market,North America,High
CH00000253-d34201,email_only,0,3.09,101.9,0,Technology,SMB,North America,Medium
CH00000254-26e6a3,email_only,0,8.89,50.72,0,Manufacturing,SMB,EMEA,Medium
CH00000255-6e7bca,email_only,0,-1.62,85.2,0,Technology,SMB,APAC,Low
CH00000256-96d1ef,email_only,0,-1.88,85.19,0,Technology,Mid-Market,North America,Low
CH00000257-11e721,email_only,0,-8.17,114.62,0,Manufacturing,SMB,North America,Low
CH00000258-5d9fa3,email_only,0,10.02,126.73,0,Technology,SMB,LATAM,Medium
CH00000259-d26954,email_only,0,-6.36,130.54,0,Technology,SMB,EMEA,Low
CH00000260-3db254,email_only,0,0.61,176.1,0,Technology,Enterprise,North America,High
CH00000261-cb4dbe,email_only,0,1.29,165.81,0,Healthcare,SMB,North America,Low
CH00000262-6cf767,email_only,0,-1.53,104.69,0,Finance,Mid-Market,APAC,Low
CH00000263-792a1d,email_only,0,-1.04,161.11,0,Finance,Enterprise,APAC,Medium
CH00000264-ee9a92,email_only,0,1.13,76.43,0,Healthcare,SMB,APAC,High
CH00000265-985120,email_only,0,-6.2,148.5,0,Finance,SMB,APAC,Medium
CH00000266-fefd30,email_only,0,4.21,142.87,0,Finance,Mid-Market,EMEA,Medium
CH00000267-cf78ea,email_only,0,-0.69,130.35,0,Finance,Mid-Market,EMEA,Medium
CH00000268-d77041,email_only,0,-2.75,73.82,0,Finance,Mid-Market,North America,Medium
CH00000269-3c6521,email_only,0,-7.8,152.92,0,Retail,Mid-Market,APAC,Medium
CH00000270-a213d9,email_only,0,-5.3,145.73,0,Technology,Enterprise,North America,Medium
CH00000271-d54693,email_only,0,8.64,181.75,0,Finance,Enterprise,North America,Low
CH00000272-f55eb2,email_only,0,-2.23,146.64,0,Finance,Enterprise,North America,Medium
CH00000273-a48670,email_only,0,0.95,127.69,0,Finance,Mid-Market,North America,High
CH00000274-c8e70a,email_only,0,-3.56,149.74,0,Technology,SMB,EMEA,High
CH00000275-588401,email_only,0,-0.55,94.65,0,Technology,SMB,EMEA,High
CH00000276-cf136c,email_only,0,-3.48,105.47,0,Retail,SMB,North America,Low
CH00000277-cd8c07,email_only,0,5.28,81.75,0,Technology,Enterprise,EMEA,High
CH00000278-866c58,email_only,0,-3.97,109.13,0,Finance,Enterprise,EMEA,Low
CH00000279-286473,email_only,1,2.45,173.59,0,Finance,SMB,APAC,High
CH00000280-6b7ba8,email_only,0,-5.26,115.64,0,Finance,SMB,LATAM,Low
CH00000281-87bc1f,email_only,0,7.27,103.7,0,Healthcare,Enterprise,APAC,Low
CH00000282-70c5e4,email_only,0,11.05,118.34,0,Healthcare,Enterprise,North America,Low
CH00000283-ae2fd2,email_only,0,6.24,138.31,0,Technology,Mid-Market,EMEA,Medium
CH00000284-dfa46b,email_only,0,-3.99,81.98,0,Retail,Mid-Market,North America,Medium
CH00000285-70fd64,email_only,0,-1.03,167.27,0,Technology,Mid-Market,North America,High
CH00000286-f9b196,email_only,0,-3.76,126.05,0,Retail,SMB,EMEA,Medium
CH00000287-28df21,email_only,0,-0.06,134.4,0,Finance,Mid-Market,EMEA,Medium
CH00000288-dcddbd,email_only,0,4.14,66.73,0,Healthcare,Enterprise,EMEA,Medium
CH00000289-259ca2,email_only,0,5.54,148.21,0,Retail,Enterprise,LATAM,High
CH00000290-ad661f,email_only,0,1.21,145.3,0,Technology,Mid-Market,North America,Medium
CH00000291-21eba4,email_only,0,-0.1,110.14,0,Retail,Enterprise,North America,Medium
CH00000292-a33a3d,email_only,0,7.95,96.48,0,Technology,SMB,LATAM,Low
CH00000293-84ca40,email_only,0,5.19,121.42,0,Healthcare,SMB,North America,Medium
CH00000294-58c00c,email_only,0,6.73,114.24,0,Technology,Enterprise,EMEA,Medium
CH00000295-4cb668,email_only,0,3.43,109.9,0,Technology,Enterprise,EMEA,Medium
CH00000296-fc096a,email_only,0,1.56,134.57,0,Retail,Mid-Market,LATAM,Medium
CH00000297-9ca706,email_only,0,-1.62,124.87,0,Healthcare,Mid-Market,APAC,High
CH00000298-4fa45d,email_only,0,-4.13,162.67,0,Technology,Enterprise,North America,Medium
CH00000299-8756e8,email_only,0,5.89,132.97,0,Manufacturing,Mid-Market,North America,Medium
CH00000300-3a1cbb,email_only,0,-8.75,118.65,0,Retail,SMB,North America,Medium
CH00000301-b31110,email_only,0,-2.44,122.23,0,Manufacturing,Enterprise,North America,High
CH00000302-6f1b1f,email_only,0,1.05,163.38,0,Manufacturing,Mid-Market,EMEA,High
CH00000303-8ff89f,email_only,0,-2.31,115.95,0,Manufacturing,SMB,North America,Medium
CH00000304-4b7319,email_only,0,2.91,152.07,0,Healthcare,SMB,North America,High
CH00000305-5139d7,email_only,0,-8.02,158.68,0,Retail,Enterprise,North America,High
CH00000306-61387a,email_only,0,-3.18,176.03,0,Finance,Mid-Market,North America,High
CH00000307-84eef3,email_only,0,-5.86,91.59,0,Retail,SMB,North America,Medium
CH00000308-2a9591,email_only,0,0.28,123.91,0,Healthcare,SMB,North America,High
