contact_id,variant,open_rate,click_rate,conversion_rate,unsubscribe_rate,spam_complaint_rate,day_of_week,assignment_date,industry,company_size,region,engagement_tier
C00000206-3b1125,control,1,0,0,0,0,1,2025-09-16,Technology,Mid-Market,North America,Low
C00000207-3267b8,control,0,0,0,0,0,0,2025-09-22,Healthcare,Mid-Market,North America,Low
C00000208-42b2a9,control,1,0,0,0,0,2,2025-09-17,Retail,SMB,North America,Low
C00000209-2de75d,control,0,0,0,0,0,0,2025-09-22,Healthcare,Mid-Market,LATAM,Medium
C00000210-269fee,control,0,0,0,0,0,1,2025-09-16,Healthcare,Mid-Market,APAC,Medium
C00000211-fa9f3d,control,0,0,0,0,0,1,2025-09-16,Retail,Mid-Market,APAC,High
C00000212-b5d110,control,0,0,0,0,0,3,2025-09-18,Manufacturing,SMB,APAC,Low
C00000213-a6aa4e,control,0,0,0,0,0,0,2025-09-15,Finance,Enterprise,North America,Medium
C00000214-587c42,control,0,0,0,0,0,1,2025-09-23,Technology,SMB,LATAM,High
C00000215-a29e98,control,0,0,0,0,0,0,2025-09-15,Finance,Mid-Market,APAC,Medium
C00000216-cd657d,control,1,0,0,0,0,4,2025-10-10,Technology,Mid-Market,North America,Medium
C00000217-91366d,control,0,0,0,0,0,0,2025-09-29,Healthcare,SMB,APAC,Low
C00000218-1fe5da,control,0,0,0,0,0,1,2025-09-30,Technology,Mid-Market,North America,High
C00000219-b0a316,control,0,0,0,0,0,2,2025-09-17,Manufacturing,SMB,North America,Medium
C00000220-bcf267,control,0,0,0,0,0,6,2025-09-28,Healthcare,Enterprise,North America,High
C00000221-2a1a92,control,1,0,0,0,0,5,2025-10-04,Manufacturing,SMB,APAC,High
C00000222-9f8de0,control,0,0,0,0,0,0,2025-09-15,Technology,Mid-Market,North America,High
C00000223-b86a66,control,1,0,0,0,0,0,2025-09-29,Healthcare,Mid-Market,North America,Medium
C00000224-fbee66,control,1,0,0,0,0,6,2025-10-05,Technology,SMB,North America,Medium
C00000225-8d6903,control,0,0,0,0,0,4,2025-10-10,Finance,SMB,North America,Medium
C00000226-6346ac,control,0,0,0,0,0,2,2025-09-17,Finance,Enterprise,EMEA,Low
C00000227-5a580d,control,1,0,0,0,0,4,2025-09-26,Manufacturing,SMB,APAC,Low
C00000228-dfad2c,control,0,0,0,0,0,4,2025-10-03,Technology,Enterprise,EMEA,Medium
C00000229-c15a2b,control,0,0,0,0,0,2,2025-10-01,Healthcare,Mid-Market,North America,High
C00000230-21e4fb,control,1,0,0,0,0,3,2025-09-18,Technology,SMB,APAC,High
C00000231-9a72d7,control,1,0,0,0,0,0,2025-10-06,Technology,SMB,LATAM,Low
C00000232-4c9af1,control,1,0,0,0,0,1,2025-10-14,Retail,SMB,APAC,Medium
C00000233-4f50f1,control,0,0,0,0,0,4,2025-10-10,Manufacturing,SMB,North America,Medium
C00000234-cb7a75,control,1,0,0,0,0,3,2025-09-18,Retail,Mid-Market,EMEA,Medium
C00000235-782115,control,0,0,0,0,0,4,2025-10-10,Finance,Mid-Market,APAC,Medium
C00000236-87a237,control,0,0,0,0,0,4,2025-09-26,Manufacturing,Mid-Market,EMEA,Medium
C00000237-97955b,control,0,0,0,0,0,3,2025-10-09,Retail,Enterprise,APAC,High
C00000238-93e952,control,0,0,0,0,0,4,2025-09-19,Retail,SMB,North America,Low
C00000239-576826,control,0,1,0,0,0,5,2025-10-04,Healthcare,Enterprise,APAC,Medium
C00000240-63def7,control,0,0,0,0,0,1,2025-10-07,Technology,Enterprise,North America,Medium
C00000241-51a4b8,control,0,1,0,0,0,5,2025-10-04,Healthcare,SMB,North America,Medium
C00000242-947e27,control,0,0,0,0,0,3,2025-10-02,Retail,Enterprise,EMEA,Medium
C00000243-d8d665,control,1,0,0,0,0,0,2025-09-22,Manufacturing,Enterprise,EMEA,High
C00000244-9cef51,control,0,0,0,0,0,5,2025-10-11,Retail,Mid-Market,North America,High
C00000245-c5df85,control,0,0,0,0,0,3,2025-10-02,Technology,Enterprise,North America,Medium
C00000246-fd1b18,control,0,0,0,0,0,4,2025-10-03,Technology,Enterprise,North America,Low
C00000247-5d44f3,control,0,0,0,0,0,0,2025-09-15,Finance,Mid-Market,EMEA,Medium
C00000248-dbcc30,control,0,0,0,0,0,6,2025-09-21,Finance,SMB,North America,Medium
C00000249-feb6dd,control,0,0,0,0,0,0,2025-09-29,Retail,Enterprise,North America,Low
C00000250-66dda2,control,1,1,0,0,0,1,2025-10-14,Healthcare,SMB,LATAM,Medium
C00000251-9d6b37,control,0,0,0,0,0,3,2025-10-09,Finance,Enterprise,North America,Medium
C00000252-d97554,control,0,1,0,0,0,3,2025-09-25,Technology,Mid-Market,EMEA,Medium
C00000253-a9ac3e,control,0,0,0,0,0,6,2025-09-28,Manufacturing,Enterprise,North America,Low
C00000254-be9ec6,control,0,0,0,0,0,2,2025-09-17,Manufacturing,Mid-Market,North America,Low
C00000255-13e07e,control,0,0,0,0,0,2,2025-09-24,Finance,Mid-Market,North America,Medium
C00000256-d2a60e,control,0,0,0,0,0,2,2025-09-24,Technology,Mid-Market,APAC,High
C00000257-bb63e4,control,0,0,0,0,0,5,2025-10-11,Retail,SMB,EMEA,Low
C00000258-71dc78,control,0,0,0,0,0,5,2025-10-11,Finance,SMB,North America,Medium
C00000259-3fa10c,control,0,0,0,0,0,2,2025-10-01,Technology,Mid-Market,North America,Medium
C00000260-7c799a,control,1,0,0,0,0,4,2025-10-03,Healthcare,SMB,North America,Low
C00000261-df11a1,control,0,0,0,0,0,1,2025-09-30,Finance,Mid-Market,North America,Low
C00000262-6b1cc0,control,0,0,0,0,0,6,2025-10-05,Manufacturing,Mid-Market,EMEA,Medium
C00000263-27d0a4,control,0,0,0,0,0,6,2025-09-21,Technology,SMB,EMEA,Low
C00000264-3de23e,control,0,0,0,0,0,2,2025-09-17,Technology,SMB,EMEA,Medium
C00000265-162e6c,control,0,0,0,0,0,4,2025-10-10,Retail,Enterprise,North America,Medium
C00000266-d03b52,control,0,0,0,0,0,6,2025-10-05,Healthcare,SMB,EMEA,Low
C00000267-ad84ec,control,1,0,0,0,0,4,2025-10-03,Technology,SMB,North America,High
C00000268-443656,control,0,0,0,0,0,0,2025-09-15,Healthcare,Mid-Market,North America,Low
C00000269-e1cc67,control,0,0,0,0,0,5,2025-09-20,Technology,Enterprise,North America,High
C00000270-7b6b4c,control,0,0,0,0,0,6,2025-09-21,Finance,SMB,North America,Medium
C00000271-2cb493,control,1,0,0,0,0,4,2025-10-10,Retail,Mid-Market,North America,High
C00000272-616023,control,0,0,0,0,0,1,2025-10-14,Healthcare,SMB,North America,Low
C00000273-cd9d49,control,0,0,0,0,0,0,2025-10-06,Finance,SMB,North America,Low
C00000274-fd8c11,control,0,0,0,0,0,1,2025-10-07,Healthcare,Mid-Market,North America,Low
C00000275-398a17,control,0,0,0,0,0,6,2025-09-28,Manufacturing,Enterprise,EMEA,Medium
C00000276-bf2283,control,0,0,0,0,0,2,2025-09-17,Finance,Enterprise,EMEA,Medium
C00000277-f0042f,control,0,0,0,0,0,0,2025-09-15,Retail,Mid-Market,EMEA,Medium
C00000278-839c46,control,0,0,0,0,0,0,2025-10-06,Retail,SMB,EMEA,Medium
C00000279-ed1acf,control,0,0,0,0,0,5,2025-10-04,Finance,SMB,North America,Medium
C00000280-a0316f,control,0,0,0,0,0,3,2025-09-18,Finance,Mid-Market,LATAM,High
C00000281-e11e24,control,0,0,0,0,0,2,2025-09-17,Finance,SMB,North America,Low
C00000282-519c89,control,0,0,0,0,0,6,2025-09-21,Technology,Mid-Market,North America,Medium
C00000283-c694de,control,1,0,0,0,0,1,2025-09-30,Retail,Mid-Market,LATAM,Medium
C00000284-c932b1,control,1,0,0,0,0,5,2025-10-11,Technology,Mid-Market,LATAM,High
C00000285-e93ba8,control,0,0,0,0,0,6,2025-10-12,Healthcare,SMB,North America,Medium
