contact_id,send_time_group,open_rate,click_rate,unsubscribe_rate,industry,company_size,region,engagement_tier
ST00000028-394fd6,morning,0,0,0,Finance,SMB,APAC,High
ST00000029-18328d,morning,0,0,0,Healthcare,SMB,EMEA,High
ST00000030-57ffe1,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000031-2f3f04,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000032-c1296a,morning,0,0,0,Healthcare,Mid-Market,EMEA,High
ST00000033-5e2cb6,morning,1,0,0,Finance,SMB,North America,Medium
ST00000034-63fe59,morning,0,0,0,Healthcare,Enterprise,APAC,Medium
ST00000035-3bcea4,morning,0,0,0,Technology,SMB,North America,High
ST00000036-1121a0,morning,0,0,0,Technology,Mid-Market,LATAM,Medium
ST00000037-f0f538,morning,0,0,0,Healthcare,SMB,EMEA,Medium
ST00000038-3e75f8,morning,0,0,0,Technology,Enterprise,APAC,Medium
ST00000039-b3b7fa,morning,1,0,0,Finance,Mid-Market,North America,Medium
ST00000040-57ee90,morning,0,0,0,Finance,SMB,APAC,Medium
ST00000041-a19e02,morning,1,0,0,Finance,Mid-Market,EMEA,Low
ST00000042-6df1f0,morning,0,0,1,Technology,Enterprise,North America,Medium
ST00000043-fd636f,morning,1,0,0,Finance,Enterprise,EMEA,Medium
ST00000044-57401d,morning,0,0,0,Healthcare,SMB,LATAM,High
ST00000045-85c4e9,morning,0,0,0,Technology,SMB,EMEA,High
ST00000046-a26f12,morning,1,0,0,Technology,Mid-Market,EMEA,High
ST00000047-301569,morning,0,0,0,Retail,SMB,APAC,Medium
ST00000048-d16a0a,morning,0,0,0,Finance,SMB,EMEA,Low
ST00000049-dbafb6,morning,0,0,0,Retail,Enterprise,North America,Medium
ST00000050-d5847c,morning,0,0,0,Manufacturing,Enterprise,North America,Medium
ST00000051-35d8cd,morning,0,0,0,Retail,SMB,North America,Medium
ST00000052-24e42f,morning,0,0,0,Retail,Enterprise,EMEA,High
ST00000053-3fa1de,morning,0,0,0,Healthcare,SMB,EMEA,Medium
ST00000054-1b5be4,morning,0,0,0,Technology,Enterprise,North America,Low
ST00000055-869d43,morning,1,0,0,Technology,SMB,LATAM,Low
ST00000056-f59474,morning,1,0,0,Retail,Mid-Market,APAC,Low
ST00000057-e6d996,morning,1,0,0,Technology,SMB,North America,Medium
ST00000058-3852ad,morning,1,0,0,Finance,Mid-Market,EMEA,Medium
ST00000059-1775f3,morning,0,0,0,Finance,SMB,North America,High
ST00000060-b90411,morning,0,0,0,Healthcare,Mid-Market,North America,High
ST00000061-129b16,morning,0,0,0,Technology,Enterprise,North America,Low
ST00000062-66d3f5,morning,0,0,0,Healthcare,Mid-Market,North America,Low
ST00000063-4268f0,morning,1,0,0,Retail,SMB,North America,Low
ST00000064-2f4289,morning,0,0,0,Retail,SMB,EMEA,High
ST00000065-52df4e,morning,0,0,0,Retail,Mid-Market,North America,Low
ST00000066-7b4e30,morning,0,0,0,Finance,Enterprise,EMEA,Low
ST00000067-4a943a,morning,1,0,0,Retail,SMB,North America,Medium
ST00000068-9d81e8,morning,0,0,0,Retail,SMB,EMEA,High
ST00000069-6046da,morning,0,0,0,Finance,Enterprise,North America,High
ST00000070-466553,morning,0,0,0,Technology,SMB,North America,Medium
ST00000071-d379be,morning,0,0,0,Healthcare,SMB,EMEA,Low
ST00000072-f1bf72,morning,0,0,0,Technology,SMB,LATAM,Medium
ST00000073-8b0177,morning,0,1,0,Technology,Mid-Market,North America,Medium
ST00000074-ed39c9,morning,1,0,0,Finance,Enterprise,North America,High
ST00000075-a5cf4a,morning,0,0,0,Finance,Enterprise,APAC,High
ST00000076-7559fa,morning,0,0,0,Technology,SMB,North America,Medium
ST00000077-c192aa,morning,0,0,0,Healthcare,SMB,LATAM,Medium
ST00000078-d22b80,morning,1,0,0,Finance,Mid-Market,LATAM,Low
ST00000079-970f4b,morning,0,0,0,Finance,SMB,North America,Low
ST00000080-f64a16,morning,0,0,0,Technology,Enterprise,EMEA,Medium
ST00000081-21ff23,morning,0,0,0,Healthcare,Enterprise,APAC,Medium
ST00000082-679fcd,morning,0,0,0,Manufacturing,Mid-Market,APAC,Medium
ST00000083-fe805c,morning,0,0,0,Retail,Mid-Market,North America,Low
ST00000084-ebd07f,morning,0,0,0,Manufacturing,Mid-Market,LATAM,Medium
ST00000085-ee6af2,morning,0,0,0,Retail,SMB,EMEA,Medium
ST00000086-7baa37,morning,0,0,0,Retail,Enterprise,EMEA,Medium
ST00000087-fcecf5,morning,0,0,0,Technology,SMB,LATAM,Medium
ST00000088-5ed4b1,morning,0,0,0,Retail,SMB,North America,Low
ST00000089-ca32c4,morning,0,0,0,Finance,Mid-Market,EMEA,Medium
ST00000090-1817f6,morning,1,0,0,Technology,Mid-Market,North America,Medium
ST00000091-7fc3a4,morning,0,0,0,Finance,Mid-Market,North America,Low
ST00000092-43bb74,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000093-65b40b,morning,1,0,0,Healthcare,SMB,LATAM,Medium
ST00000094-227ebc,morning,0,0,0,Technology,SMB,North America,Low
ST00000095-7a72a9,morning,0,1,0,Retail,Mid-Market,North America,High
ST00000096-f14c7a,morning,0,0,0,Retail,SMB,North America,Medium
ST00000097-7f550d,morning,0,0,0,Finance,SMB,APAC,Low
ST00000098-f3cf30,morning,0,1,0,Finance,SMB,North America,Medium
ST00000099-2d855e,morning,0,0,0,Finance,SMB,EMEA,High
ST00000100-7810c3,morning,1,0,0,Technology,Enterprise,EMEA,High
ST00000101-4cad8a,morning,1,0,0,Retail,Mid-Market,EMEA,Medium
ST00000102-b09078,morning,0,0,0,Finance,SMB,LATAM,Medium
ST00000103-ac75dd,morning,0,0,0,Finance,Enterprise,LATAM,Medium
ST00000104-6f7c98,morning,0,0,0,Retail,Mid-Market,EMEA,Medium
ST00000105-2c518c,morning,0,0,0,Technology,Mid-Market,EMEA,Medium
ST00000106-5f3a50,morning,0,0,0,Technology,Mid-Market,EMEA,Medium
ST00000107-c2b196,morning,0,0,0,Technology,Enterprise,North America,Medium
ST00000108-d50bf9,morning,0,0,0,Healthcare,Enterprise,APAC,Medium
ST00000109-bce9fa,morning,0,0,1,Retail,SMB,LATAM,Medium
ST00000110-f636e1,morning,0,0,0,Finance,SMB,APAC,High
ST00000111-45664e,morning,0,0,0,Finance,SMB,North America,High
ST00000112-4a3a72,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000113-c33935,morning,1,0,0,Technology,Mid-Market,APAC,Low
ST00000114-412a23,morning,0,0,0,Finance,SMB,EMEA,Medium
ST00000115-e6e841,morning,0,0,0,Healthcare,Mid-Market,APAC,Medium
ST00000116-5e2723,morning,0,0,0,Technology,Enterprise,North America,High
ST00000117-469017,morning,0,0,0,Healthcare,SMB,North America,Low
ST00000118-df5a50,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000119-1997fe,morning,0,0,0,Technology,SMB,APAC,Medium
ST00000120-2773e5,morning,0,0,0,Finance,Mid-Market,North America,Low
ST00000121-d44595,morning,1,1,0,Retail,Enterprise,LATAM,Low
ST00000122-cce719,morning,0,0,0,Technology,Mid-Market,North America,Low
ST00000123-91104d,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000124-cc9508,morning,0,0,0,Finance,Enterprise,North America,Medium
ST00000125-6e47e2,morning,0,1,0,Technology,Mid-Market,EMEA,Medium
ST00000126-4a683f,morning,0,0,0,Healthcare,SMB,APAC,Medium
ST00000127-93ed1f,morning,0,0,0,Technology,Enterprise,EMEA,High
ST00000128-b912e4,morning,0,0,0,Technology,SMB,EMEA,Low
ST00000129-2fa988,morning,1,0,0,Technology,SMB,EMEA,Medium
ST00000130-13bc34,morning,1,1,0,Finance,Mid-Market,EMEA,Low
ST00000131-b95a95,morning,0,0,0,Technology,SMB,North America,High
ST00000132-273851,morning,0,1,0,Healthcare,Enterprise,EMEA,Medium
ST00000133-eea3f9,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000134-7b338a,morning,1,0,0,Retail,Enterprise,EMEA,High
ST00000135-e15512,morning,0,0,0,Healthcare,Enterprise,EMEA,Medium
ST00000136-7a8f78,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000137-ffb329,morning,0,0,0,Retail,Mid-Market,EMEA,Medium
ST00000138-7bbbbd,morning,0,0,0,Healthcare,Mid-Market,EMEA,Medium
ST00000139-afc605,morning,0,0,0,Technology,SMB,North America,Medium
ST00000140-b42374,morning,0,0,0,Technology,Enterprise,North America,Low
ST00000141-5588e2,morning,0,0,0,Finance,Enterprise,APAC,Low
ST00000142-cd7f30,morning,0,0,0,Finance,SMB,EMEA,Low
ST00000143-db85cd,morning,0,0,0,Retail,SMB,EMEA,Medium
ST00000144-30d323,morning,1,0,0,Finance,Enterprise,LATAM,Medium
ST00000145-9b4a98,morning,0,1,0,Finance,Enterprise,North America,Medium
ST00000146-c809f9,morning,1,0,0,Retail,Mid-Market,EMEA,High
ST00000147-a1b4d8,morning,0,0,0,Healthcare,SMB,EMEA,Medium
ST00000148-8debcc,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000149-37631a,morning,1,0,0,Manufacturing,Mid-Market,North America,Medium
ST00000150-bb5f7b,morning,0,0,0,Technology,SMB,APAC,Low
ST00000151-355478,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000152-dbcbad,morning,0,1,0,Finance,SMB,EMEA,Medium
ST00000153-4a9a45,morning,0,0,0,Finance,Mid-Market,APAC,Medium
ST00000154-ef8d73,morning,0,0,0,Healthcare,Mid-Market,North America,Low
ST00000155-8e3738,morning,1,0,0,Manufacturing,SMB,EMEA,Medium
ST00000156-2dd21c,morning,1,0,0,Retail,SMB,EMEA,Medium
ST00000157-97027c,morning,1,0,0,Technology,Mid-Market,North America,Low
ST00000158-5d1f1c,morning,0,0,0,Technology,SMB,EMEA,Medium
ST00000159-f51713,morning,0,0,0,Finance,Mid-Market,EMEA,High
ST00000160-c7e1e5,morning,0,0,0,Finance,Mid-Market,North America,Low
ST00000161-95dd23,morning,0,0,0,Finance,SMB,North America,Medium
ST00000162-c185f1,morning,0,0,0,Technology,SMB,EMEA,Low
ST00000163-657390,morning,0,0,0,Retail,Mid-Market,EMEA,Low
ST00000164-aa471d,morning,0,0,0,Finance,SMB,North America,Low
ST00000165-62d9c6,morning,0,1,0,Technology,SMB,LATAM,Low
ST00000166-74db60,morning,0,0,0,Technology,SMB,North America,Low
ST00000167-681153,morning,1,0,0,Technology,Enterprise,EMEA,High
ST00000168-8874c9,morning,0,0,0,Retail,Enterprise,APAC,Medium
ST00000169-d5df34,morning,0,0,0,Technology,SMB,North America,High
ST00000170-d58519,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000171-2d3d8d,morning,0,0,0,Finance,SMB,North America,Low
ST00000172-b79c17,morning,0,0,0,Technology,SMB,LATAM,Medium
ST00000173-92f404,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000174-46b47a,morning,0,0,0,Technology,Enterprise,North America,High
ST00000175-bb47e9,morning,1,0,0,Finance,Mid-Market,North America,Low
ST00000176-a238ce,morning,0,0,0,Healthcare,SMB,APAC,Low
ST00000177-da069b,morning,1,0,0,Technology,Mid-Market,APAC,High
ST00000178-b3a2ee,morning,0,0,0,Healthcare,Mid-Market,North America,Medium
ST00000179-12c6f5,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000180-230ab3,morning,0,0,0,Technology,Enterprise,EMEA,High
ST00000181-253cbf,morning,0,0,0,Technology,Mid-Market,APAC,Medium
ST00000182-26be64,morning,0,1,0,Technology,SMB,EMEA,Low
ST00000183-4ab40a,morning,0,0,1,Finance,Enterprise,North America,Low
ST00000184-c60ac1,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000185-9a7ab4,morning,1,0,0,Finance,Enterprise,North America,High
ST00000186-aca218,morning,1,0,0,Technology,Mid-Market,North America,Medium
ST00000187-711ca4,morning,0,0,0,Finance,SMB,North America,Low
ST00000188-321aca,morning,0,0,0,Technology,Mid-Market,North America,Medium
ST00000189-f6a5d6,morning,0,0,0,Retail,Enterprise,EMEA,High
ST00000190-b749a5,morning,0,1,0,Retail,Enterprise,EMEA,Low
ST00000191-7628fd,morning,0,0,0,Healthcare,Mid-Market,North America,High
ST00000192-f2e2dd,morning,0,0,0,Finance,Enterprise,LATAM,Medium
ST00000193-46bb3e,morning,0,0,0,Finance,SMB,LATAM,Medium
ST00000194-58130f,morning,0,0,0,Retail,Enterprise,EMEA,Low
ST00000195-530903,morning,1,0,0,Technology,Enterprise,North America,Medium
ST00000196-394e31,morning,1,0,0,Finance,Enterprise,EMEA,High
ST00000197-f8457b,morning,0,1,0,Healthcare,Mid-Market,EMEA,Medium
ST00000198-c392f8,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000199-c8f773,morning,0,0,0,Technology,Enterprise,North America,High
ST00000200-1b109a,morning,0,0,0,Manufacturing,Mid-Market,North America,High
ST00000201-8e7cac,morning,0,0,0,Finance,Enterprise,EMEA,Medium
ST00000202-b33643,morning,0,0,0,Retail,Enterprise,LATAM,Medium
ST00000203-289ee0,morning,0,0,0,Manufacturing,Mid-Market,LATAM,Medium
ST00000204-caf348,morning,0,0,0,Healthcare,Enterprise,North America,Medium
ST00000205-7486ee,morning,0,0,0,Healthcare,Enterprise,LATAM,Low
ST00000206-daa9af,morning,0,0,0,Manufacturing,SMB,EMEA,Medium
ST00000207-4031ff,morning,1,0,0,Technology,SMB,North America,Medium
ST00000208-f00a5e,morning,1,0,0,Technology,Mid-Market,North America,Medium
ST00000209-d92f95,morning,0,0,0,Finance,Mid-Market,North America,Low
ST00000210-1744f8,morning,0,1,0,Technology,Mid-Market,North America,Medium
ST00000211-79638a,morning,1,0,0,Finance,Mid-Market,North America,Low
ST00000212-1ee438,morning,0,0,0,Technology,SMB,North America,Medium
ST00000213-55d5e6,morning,0,0,0,Retail,Enterprise,North America,High
ST00000214-465cec,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000215-df48ab,morning,1,0,0,Retail,Mid-Market,EMEA,Low
ST00000216-739693,morning,0,0,0,Healthcare,Mid-Market,North America,Medium
ST00000217-7f3a5b,morning,0,0,0,Healthcare,Mid-Market,North America,Medium
ST00000218-69b562,morning,0,0,0,Technology,Mid-Market,North America,Low
ST00000219-446f33,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000220-a21edd,morning,0,0,0,Retail,Enterprise,North America,Medium
ST00000221-8250f5,morning,0,0,0,Healthcare,Enterprise,EMEA,Medium
ST00000222-831e4e,morning,0,1,0,Technology,SMB,APAC,Medium
ST00000223-898237,morning,0,0,0,Finance,SMB,EMEA,Medium
ST00000224-58429d,morning,0,0,0,Healthcare,Mid-Market,LATAM,Medium
ST00000225-5bc0a3,morning,0,0,0,Technology,Mid-Market,APAC,Medium
ST00000226-631de9,morning,0,0,0,Retail,Mid-Market,APAC,Medium
ST00000227-bbd739,morning,0,0,0,Technology,Mid-Market,North America,Medium
ST00000228-c62f79,morning,0,0,0,Manufacturing,SMB,EMEA,Medium
ST00000229-d84ffa,morning,0,0,0,Technology,Mid-Market,APAC,Medium
ST00000230-a4e3d3,morning,0,0,0,Healthcare,Enterprise,APAC,Low
ST00000231-279c5f,morning,0,0,0,Retail,Mid-Market,APAC,Medium
ST00000232-13d0ed,morning,0,0,0,Healthcare,Mid-Market,North America,High
ST00000233-ad3237,morning,0,1,0,Technology,SMB,LATAM,High
ST00000234-13a8d6,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000235-fa8495,morning,0,0,0,Manufacturing,Mid-Market,North America,High
ST00000236-71087b,morning,0,0,0,Manufacturing,SMB,EMEA,Low
ST00000237-65cde7,morning,0,0,0,Finance,Mid-Market,EMEA,Medium
ST00000238-94b74a,morning,0,0,0,Finance,Mid-Market,EMEA,Medium
ST00000239-111165,morning,0,0,0,Technology,Mid-Market,LATAM,Medium
ST00000240-4cbe34,morning,0,0,0,Technology,SMB,LATAM,Low
ST00000241-6637c2,morning,0,0,0,Finance,Enterprise,EMEA,Low
ST00000242-84580c,morning,1,0,0,Retail,Enterprise,North America,Medium
ST00000243-3aa3ac,morning,1,0,0,Healthcare,Mid-Market,EMEA,Low
ST00000244-6b6418,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000245-b68d1a,morning,0,0,0,Healthcare,Mid-Market,APAC,Low
ST00000246-692d07,morning,0,0,0,Healthcare,SMB,APAC,Medium
ST00000247-cd4b88,morning,0,0,0,Healthcare,SMB,EMEA,Low
ST00000248-6f7862,morning,0,0,0,Manufacturing,SMB,North America,High
ST00000249-6a052d,morning,0,0,0,Technology,Mid-Market,LATAM,Low
ST00000250-aee870,morning,1,0,0,Manufacturing,Mid-Market,EMEA,Medium
ST00000251-6d1750,morning,0,0,0,Healthcare,Enterprise,LATAM,Medium
ST00000252-955fd2,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000253-f9b2ad,morning,1,0,0,Technology,Mid-Market,LATAM,Medium
ST00000254-e0b1c7,morning,0,0,0,Technology,Mid-Market,North America,Medium
ST00000255-428a36,morning,0,0,1,Technology,Mid-Market,EMEA,Medium
ST00000256-f22ab9,morning,0,0,0,Technology,Enterprise,North America,Low
ST00000257-a2613d,morning,1,0,0,Finance,SMB,North America,High
ST00000258-a98f51,morning,1,0,0,Technology,Mid-Market,North America,Low
ST00000259-df7407,morning,0,0,0,Technology,SMB,North America,Medium
ST00000260-bf32ef,morning,1,0,0,Technology,SMB,APAC,Medium
ST00000261-c8c534,morning,1,0,0,Healthcare,Mid-Market,North America,Low
ST00000262-7822ae,morning,1,0,0,Technology,Mid-Market,LATAM,Medium
ST00000263-64a67d,morning,1,0,0,Healthcare,SMB,APAC,Low
ST00000264-4660b0,morning,0,0,0,Healthcare,Enterprise,North America,Low
ST00000265-e0075c,morning,0,0,0,Retail,SMB,North America,Medium
ST00000266-e9e654,morning,0,0,0,Technology,Mid-Market,APAC,Low
ST00000267-8ea8f7,morning,0,0,0,Technology,SMB,EMEA,Medium
ST00000268-f42f66,morning,1,0,0,Retail,SMB,North America,Medium
ST00000269-887478,morning,0,0,0,Retail,SMB,LATAM,Medium
ST00000270-592a89,morning,1,0,0,Retail,Enterprise,APAC,Low
ST00000271-d84637,morning,0,0,0,Retail,Enterprise,North America,Medium
ST00000272-3aa86a,morning,0,0,0,Technology,SMB,North America,Medium
ST00000273-f15e22,morning,0,0,0,Technology,SMB,North America,Low
ST00000274-b2e151,morning,1,0,0,Finance,SMB,North America,High
ST00000275-2b9c4e,morning,0,0,0,Healthcare,SMB,North America,High
ST00000276-f2969e,morning,1,0,0,Healthcare,SMB,APAC,Low
ST00000277-cade01,morning,0,0,0,Retail,Enterprise,North America,Low
ST00000278-c1b024,morning,1,0,0,Technology,Mid-Market,APAC,Low
ST00000279-12faed,morning,0,0,0,Healthcare,Enterprise,North America,High
ST00000280-6cb49f,morning,1,0,0,Technology,Mid-Market,APAC,Low
ST00000281-42cff2,morning,0,0,0,Technology,SMB,EMEA,High
ST00000282-a72252,morning,0,0,0,Technology,Mid-Market,North America,High
ST00000283-9b50e2,morning,1,0,0,Healthcare,SMB,North America,High
ST00000284-c20cc4,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000285-3e1914,morning,0,0,0,Finance,SMB,APAC,Medium
ST00000286-c48016,morning,0,0,0,Manufacturing,Enterprise,North America,Medium
ST00000287-ec0d9e,morning,0,0,0,Technology,SMB,North America,Medium
ST00000288-2caac0,morning,0,0,0,Technology,Enterprise,APAC,High
ST00000289-4f1648,morning,0,0,0,Retail,SMB,LATAM,High
ST00000290-96e2b3,morning,0,0,0,Finance,Mid-Market,LATAM,Medium
ST00000291-9071dc,morning,0,0,0,Technology,SMB,North America,Medium
ST00000292-8e64c6,morning,0,0,0,Healthcare,Enterprise,North America,High
ST00000293-a0368e,morning,0,0,0,Technology,Mid-Market,LATAM,Medium
ST00000294-9ef6a7,morning,0,0,0,Retail,Mid-Market,North America,Medium
ST00000295-8aadff,morning,1,0,0,Finance,SMB,North America,Medium
ST00000296-212492,morning,0,0,0,Finance,SMB,EMEA,Low
ST00000297-7b8709,morning,0,0,0,Healthcare,Mid-Market,North America,High
ST00000298-6bbf73,morning,0,0,0,Technology,SMB,APAC,Low
ST00000299-b1d8ba,morning,0,0,0,Technology,Mid-Market,North America,Medium
ST00000300-c126da,morning,0,0,0,Retail,SMB,EMEA,Medium
ST00000301-c423d5,morning,0,0,0,Technology,SMB,APAC,Medium
ST00000302-17eaeb,morning,0,0,0,Finance,Enterprise,North America,Medium
ST00000303-2d9205,morning,1,0,0,Healthcare,SMB,North America,Medium
ST00000304-8643e4,morning,0,0,0,Healthcare,Enterprise,LATAM,High
ST00000305-78e1f9,morning,0,0,0,Technology,SMB,North America,High
ST00000306-1492db,morning,0,0,0,Manufacturing,SMB,North America,Low
ST00000307-7796c8,morning,0,0,0,Technology,SMB,LATAM,Medium
ST00000308-643c0a,morning,0,0,0,Technology,Mid-Market,North America,High
ST00000309-2d8d78,morning,0,0,0,Manufacturing,Enterprise,APAC,Medium
ST00000310-a8cb14,morning,0,0,0,Retail,SMB,North America,High
ST00000311-b70622,morning,0,0,0,Healthcare,SMB,North America,Low
ST00000312-6cc624,morning,0,0,0,Retail,SMB,North America,Low
ST00000313-7c9cb7,morning,1,0,0,Finance,SMB,North America,Low
ST00000314-98ea1a,morning,0,0,0,Technology,Mid-Market,APAC,Medium
ST00000315-e2a4dd,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000316-f2fa77,morning,0,0,0,Healthcare,SMB,North America,High
ST00000317-413e34,morning,0,0,0,Retail,SMB,North America,High
ST00000318-ab821c,morning,0,0,0,Retail,SMB,LATAM,Low
ST00000319-5d5bca,morning,0,0,1,Technology,SMB,North America,Low
ST00000320-38c0c0,morning,0,0,0,Manufacturing,SMB,EMEA,Medium
ST00000321-fe5a6c,morning,0,0,0,Technology,Enterprise,EMEA,High
ST00000322-b927c1,morning,0,0,0,Retail,Enterprise,North America,Low
ST00000323-9030a3,morning,0,0,0,Technology,Mid-Market,LATAM,High
ST00000324-69940f,morning,0,0,0,Retail,Enterprise,EMEA,High
ST00000325-9cec38,morning,0,0,0,Healthcare,Enterprise,North America,Low
ST00000326-8bbd17,morning,0,0,0,Retail,Mid-Market,LATAM,Low
ST00000327-103c98,morning,0,0,0,Technology,SMB,North America,Low
ST00000328-30d678,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000329-932e10,morning,0,0,0,Technology,Enterprise,North America,Medium
ST00000330-69988b,morning,0,0,0,Technology,SMB,EMEA,Low
ST00000331-938c88,morning,0,0,0,Technology,SMB,North America,Medium
ST00000332-e2db34,morning,0,0,0,Healthcare,SMB,APAC,Medium
ST00000333-5eea8a,morning,0,0,0,Finance,Enterprise,EMEA,Low
ST00000334-a52438,morning,0,0,0,Retail,SMB,North America,Low
ST00000335-e58bcf,morning,0,0,0,Technology,Mid-Market,North America,Medium
ST00000336-86f807,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000337-900e68,morning,1,0,0,Finance,SMB,LATAM,High
ST00000338-4dcdff,morning,0,0,0,Technology,Mid-Market,LATAM,Low
ST00000339-33f60d,morning,0,0,0,Finance,SMB,North America,High
ST00000340-3cbfca,morning,1,0,0,Technology,Enterprise,North America,High
ST00000341-c15282,morning,0,0,0,Retail,Mid-Market,North America,Low
ST00000342-d7134d,morning,0,0,0,Retail,SMB,North America,Medium
ST00000343-60004d,morning,0,0,0,Manufacturing,SMB,EMEA,High
ST00000344-2a9b9e,morning,0,0,0,Finance,SMB,North America,Low
ST00000345-c0e1c2,morning,0,0,0,Finance,SMB,North America,Medium
ST00000346-2958e8,morning,1,0,0,Retail,Mid-Market,North America,High
ST00000347-c076dc,morning,0,0,0,Healthcare,Mid-Market,North America,High
ST00000348-305492,morning,0,0,0,Retail,Mid-Market,EMEA,Low
ST00000349-9e6d2c,morning,0,0,0,Healthcare,SMB,North America,Medium
ST00000350-854add,morning,0,0,0,Healthcare,Mid-Market,North America,Medium
ST00000351-10f560,morning,0,0,0,Technology,Mid-Market,North America,Low
ST00000352-74a753,morning,0,0,0,Retail,Enterprise,North America,Medium
ST00000353-470b18,morning,0,0,0,Finance,Mid-Market,North America,Medium
ST00000354-bf6884,morning,0,0,0,Technology,Mid-Market,EMEA,Low
ST00000355-325ce2,morning,0,0,0,Technology,SMB,EMEA,Medium
ST00000356-75055d,morning,1,0,0,Healthcare,Mid-Market,North America,High
ST00000357-cca939,morning,0,0,0,Technology,SMB,EMEA,Low
ST00000358-b2b077,morning,0,0,0,Finance,Enterprise,LATAM,Medium
ST00000359-7e7439,morning,0,0,0,Healthcare,Enterprise,LATAM,Medium
ST00000360-9c451c,morning,0,1,0,Retail,SMB,APAC,Low
ST00000361-393a6c,morning,1,0,0,Manufacturing,Enterprise,EMEA,Medium
ST00000362-859bb5,morning,0,0,0,Technology,Mid-Market,EMEA,Medium
ST00000363-66a0c9,morning,0,0,0,Technology,SMB,EMEA,Medium
ST00000364-491386,morning,0,0,0,Retail,Mid-Market,EMEA,Medium
ST00000365-b69f15,morning,0,0,0,Finance,SMB,North America,Medium
ST00000366-6f4014,morning,1,0,0,Technology,SMB,North America,High
ST00000367-bb1f88,morning,0,0,0,Manufacturing,Mid-Market,APAC,Medium
ST00000368-85659e,morning,0,0,0,Healthcare,SMB,North America,High
ST00000369-19a7a1,morning,0,0,0,Healthcare,Mid-Market,North America,Medium
ST00000370-5ace3f,morning,0,0,0,Finance,Enterprise,EMEA,Low
